Date,volatility,momentum,price_strength,volume,breadth,safe_haven,sentiment_index,grade
2018-07-27,50.509604273727746,5.1220050445567,1.3022031715973093,30.778158588578293,55.15782946072015,37.61148973917988,30.1,공포
2018-07-30,87.87065186181427,5.272310669177922,1.3513889594229087,20.21494458433733,46.88606400051171,63.39307195650201,37.5,공포
2018-07-31,88.00466210259378,5.812291750537525,1.5239537165343269,6.01169960038016,61.695032454968626,59.79540997457218,37.1,공포
2018-08-01,87.92276292071234,7.77507317212428,2.1951167802229072,3.3316990306166185,67.41300350938111,71.30035949261672,40.0,공포
2018-08-02,71.86583134352918,3.859391345239501,0.9005573075111569,5.11727513391801,17.66229112260697,60.28027896704601,26.6,공포
2018-08-03,71.28988433268765,6.001220092520869,1.5552623340418368,6.229856619705374,36.76737639648322,59.084423788797544,30.2,공포
2018-08-06,73.74552344761386,6.2011784589613335,1.6179499952720031,9.843312406712135,39.065350793512735,52.08909292577384,30.4,공포
2018-08-07,72.52663584762607,8.574593496223615,2.4022716976178202,12.095484951887691,56.72260760798367,53.231300669371684,34.3,공포
2018-08-08,75.6059202661338,9.16151919296458,2.6103672991829705,23.628565587343804,64.87048372805332,62.52498807045717,39.7,공포
2018-08-09,76.04969382234556,9.928990042784076,2.8918291752293186,14.239430249759867,61.77750238533487,59.446164451196594,37.4,공포
2018-08-10,79.68599436902494,6.806725003573987,1.8731908440222298,16.01802397640289,61.03662918548568,35.35108746121518,33.5,공포
2018-08-13,66.23593123247885,3.2806230860889505,1.0738733355744994,26.405508029747153,26.95098915905274,25.80296373882448,25.0,공포
2018-08-14,63.98980922030765,4.44402515617505,1.505479494354753,34.71990499639354,39.397734736467015,32.40218557464134,29.4,공포
2018-08-16,60.761609119549206,3.0568534096045106,1.2659980102264572,40.66596325058852,18.557706439029975,26.79031323879447,25.2,공포
2018-08-17,60.341391646897826,3.7515051231263046,1.5792118882185049,49.68463819767601,18.942947215022237,29.07337244820739,27.2,공포
2018-08-20,61.52689688668778,4.029779488755643,1.7244462150227673,50.870425872413996,20.201705992544618,26.69507734566058,27.5,공포
2018-08-21,58.646890582708345,6.942794882203761,2.9410187739143265,44.96682824323967,34.17462943546858,40.31839832357709,31.3,공포
2018-08-22,60.32202715821609,7.787997577497295,3.295967097338032,55.72033329414261,28.26362494031064,33.82499781202013,31.5,공포
2018-08-23,59.89058166542793,9.724904329984941,4.1213958898522,59.198693707065516,60.295057680944566,43.95877416840956,39.5,공포
2018-08-24,62.03803034432378,12.285148199938984,5.206248568447405,75.90752970800486,54.897587469279365,40.79821286499508,41.9,중립
2018-08-27,62.005668843106896,14.106181560631176,5.989408801662384,79.06854591956322,60.415229447582675,37.99204063987861,43.3,중립
2018-08-28,61.89944223415852,15.558380556578527,6.584412922181905,73.47505208969025,52.3208429612456,39.435499317122584,41.5,중립
2018-08-29,61.45729932601233,17.673296639177476,7.4592401820965275,71.25854957170873,55.898504887360886,42.77691464284412,42.8,중립
2018-08-30,63.236662212172845,17.709047264146626,7.431983370523024,59.17284720511826,52.279376012858755,34.566539630951,39.1,공포
2018-08-31,80.41059573895872,22.959074142694792,9.733390614834642,46.63081280378354,81.01876004415277,55.923315776286906,49.4,중립
2018-09-03,79.55640321497121,18.412856148704414,7.735325738186359,34.373312581418666,92.980179778962,39.710856280687544,45.5,중립
2018-09-04,78.78789227404712,21.412806363634594,9.083074819070863,33.03702521451108,92.44662650109372,42.98988400552828,46.3,중립
2018-09-05,73.06309250563402,14.95383299621167,6.30332625468961,43.49519819543735,88.77876409505394,28.090066783170908,42.4,중립
2018-09-06,72.79802122350132,14.317388818058713,6.046099587169342,57.73941040597668,83.22945930125007,22.23869181705183,42.7,중립
2018-09-07,72.43402194452732,13.32752288694296,5.621385873815284,69.74917416951871,77.3473608169483,23.35638989671372,43.6,중립
2018-09-10,77.24315317805197,15.618677893154132,6.524922248014044,80.1682846689257,66.80189191272363,35.53205636710326,47.0,중립
2018-09-11,90.76590653014897,14.794520053422644,6.128392255491647,88.60195150294825,57.43257071321405,49.60419113671913,51.2,중립
2018-09-12,91.31585678494746,15.333282581517205,6.278328715879591,84.12623512896866,47.122121698660344,43.521805192488195,47.9,중립
2018-09-13,94.25191466200597,16.830178350885163,6.814749290252429,73.62873668311589,38.191340051116704,55.49885840454063,47.5,중립
2018-09-14,86.83711753062632,27.912081129850986,11.34473985555126,61.13849593142828,65.1972825531168,73.09238609663007,54.3,중립
2018-09-17,83.05711634053583,23.20311907968059,9.244102752428585,63.063664711525824,46.53818430158464,69.54943765555781,49.1,중립
2018-09-18,87.41397064852993,25.912645249133593,10.294838617897078,52.49862693434058,46.77192320258245,68.3210050405051,48.5,중립
2018-09-19,87.29612673258075,26.36994423082732,10.401041461678966,51.38952292329798,47.82499524262615,66.95190433938578,48.4,중립
2018-09-20,86.02987094238459,32.71583275254496,13.036800690010864,51.51659627291715,47.21610313016774,70.6141788833595,50.2,중립
2018-09-21,84.79889196611202,39.86383596516958,16.20729865663349,57.64840840346497,74.70446478864595,73.20462095905759,57.7,중립
2018-09-27,82.80440644869802,47.29357037295975,19.93774017341951,47.966487448436716,78.55614289464079,75.49083033900123,58.7,중립
2018-09-28,80.23672397416846,42.28403604889244,17.359305348638355,47.71481556340157,87.21990794146764,68.74197821611344,57.3,중립
2018-10-01,80.0911142796658,40.982066403915034,16.662317233812857,35.310325523133436,87.02502715501502,65.8302946155913,54.3,중립
2018-10-02,68.45992655093929,29.426244489578295,11.469735898533228,35.14357147193192,67.99542347818888,54.46257493082165,44.5,중립
2018-10-04,56.10290044060511,18.084189258457133,6.945812912172459,31.42021817364719,35.92986176022014,38.2951206929518,31.1,공포
2018-10-05,58.60786246700852,16.674673635536898,6.386401701275722,30.198953429796603,35.0618458863898,45.220235729428516,32.0,공포
2018-10-08,58.72337954768761,13.675252298287234,5.2613842708854515,18.69843636306017,28.056658742062048,37.02037059018753,26.9,공포
2018-10-10,57.61524961186344,8.887240907898203,4.365546324604551,30.12725918338972,17.137891503062608,34.33935024445692,25.4,공포
2018-10-11,0.9254537108226515,0.8294135752477876,4.5261029751315585,49.23561658491701,1.3319065069145457,7.163361460668588,10.7,극도의 공포
2018-10-12,0.37091649127815174,2.31241191048026,6.959031476346142,49.16183903702284,5.716701398545328,14.88197331932059,13.2,극도의 공포
2018-10-15,0.4425793005173375,1.6687080516167994,5.846118753337715,47.57223377873881,4.057506420538951,9.666757320825475,11.5,극도의 공포
2018-10-16,0.4918785573161131,1.892257397630235,6.022321206211796,55.36963505729787,4.238934335378204,9.89041924638726,13.0,극도의 공포
2018-10-17,0.3424672132476161,3.6747255928656832,8.042602562610329,42.25639079233512,5.518289463002396,13.482221970709595,12.2,극도의 공포
2018-10-18,0.37530804800876183,2.553518700898726,6.60078127417952,26.96284365458982,2.853298468681242,8.017071856810448,7.9,극도의 공포
2018-10-19,0.8610119707251727,3.424586852776632,7.433082063478327,34.03234872609253,2.227292689615315,4.753368774056852,8.8,극도의 공포
2018-10-22,0.8925239349846947,4.254443653586374,8.096949853828871,43.68402183184198,3.2132545318355734,7.458860675817848,11.3,극도의 공포
2018-10-23,0.30294835028546174,1.1913446170349808,5.7110388090892314,66.57225542256195,2.168898187213493,1.319768576793551,12.9,극도의 공포
2018-10-24,0.37213231642122935,1.0889454228882478,5.872596797235381,81.7872921781465,2.6790280607779375,1.0234729793348825,15.5,극도의 공포
2018-10-25,0.446919647464199,0.4823949639622148,6.0347374028086405,84.76984684471056,2.800766582531823,0.15904902274861327,15.8,극도의 공포
2018-10-26,0.580760053114787,0.19679498486442326,6.197711092798517,89.84212969128774,2.338245493967528,0.02965725453684521,16.5,극도의 공포
2018-10-29,0.9434384186492935,0.09373456927063648,6.36085961730519,94.12499894886925,2.174023408380752,0.007773807802439862,17.3,극도의 공포
2018-10-30,0.5225237186693477,0.22825217787901714,7.699415818703999,95.2460452324254,4.656226616741023,0.04026593107895543,18.1,극도의 공포
2018-10-31,0.38021452096536734,0.4487154305722425,8.944469824155659,92.38282783606726,16.724775698314986,0.1103254391718404,19.8,극도의 공포
2018-11-01,0.45525621787480475,0.47186105402000605,8.728138210304875,89.00594793205268,6.87846609136014,0.21991084842456401,17.6,극도의 공포
2018-11-02,0.012929205102977903,3.339709573708826,15.542583504601176,80.1553465485645,35.523065801365654,3.3534261050774123,23.0,공포
2018-11-05,0.01842490761222848,2.4114208896491607,13.676939986247632,69.26941446286581,30.384410062480537,2.4185075425116915,19.7,극도의 공포
2018-11-06,0.021561297205849428,3.5853333457962426,15.21643392782398,46.92753910728713,26.81131573346953,4.287556307771878,16.1,극도의 공포
2018-11-07,0.03473941057416141,3.1255664460398576,14.215392268531962,59.29912638180919,29.086364801399757,5.835489542523238,18.6,극도의 공포
2018-11-08,1.431203613431265,4.655644991398695,15.937670485487681,60.76466344772372,31.79213169320802,35.63559179064379,25.0,공포
2018-11-09,2.4848717439979566,4.425625069254392,15.380347126033362,49.88517873089676,27.93068830065126,20.296559385638762,20.1,공포
2018-11-12,2.7968057566268243,4.2811255160462265,14.935009822728052,38.63611950638165,45.20189622143793,22.430690284032863,21.4,공포
2018-11-13,2.9056946319298333,3.8276694870692274,14.119678691387483,43.49145472815687,45.221209589086676,21.610291018856785,21.9,공포
2018-11-14,3.951587341721563,3.885883231085996,13.962165550554678,20.47272102428292,60.63094796856265,15.397386438146764,19.7,극도의 공포
2018-11-15,3.5862146449232455,6.371832883779235,16.378401231500426,22.617044818986294,86.32168452567782,31.899234299524416,27.9,공포
2018-11-16,3.826062472723237,7.428233299022444,17.079690563247556,24.73619207100974,96.31677742172613,28.928954960969122,29.7,공포
2018-11-19,3.9017681071692465,9.221439851738516,18.27748143090398,23.033555282356126,95.44805756435898,26.61039898385942,29.4,공포
2018-11-20,9.599023111838207,6.999702881628601,16.26158901867427,14.052327281911653,86.76396610898026,44.72122109687175,29.7,공포
2018-11-21,9.871711707046302,6.652712327463703,15.73805317601743,10.434072890370027,86.64050583745654,48.30465268797944,29.6,공포
2018-11-22,14.434974637507963,6.2664539723968,15.162524165714137,5.342779800145934,33.83758109517463,64.38059668604193,23.2,공포
2018-11-23,21.324879710675376,5.237975361412312,13.967564697144773,4.016194472899883,39.376538305403145,74.24692907332141,26.4,공포
2018-11-26,26.429179716272685,9.416866518431554,17.08930172864308,4.111305167576036,53.44429741945207,92.31468003308832,33.8,공포
2018-11-27,27.248358485723273,13.426328512429986,19.377550709921454,4.027474216390729,76.67734039431842,90.89815702355818,38.6,공포
2018-11-28,28.27677170215938,16.39828337007455,20.767841868794623,6.4965248648151235,73.38346934520541,87.9183603996655,38.9,공포
2018-11-29,29.20764502256597,18.939853034332042,21.790912658910017,12.31832556271612,82.33393672981462,89.40589820129652,42.3,중립
2018-11-30,78.7635092476169,15.14534908516133,19.5752406783203,40.2489281845683,73.29753193113505,52.42177794822306,46.6,중립
2018-12-03,71.24032850262401,26.70306932115335,24.87483723085715,73.10379609265908,92.22247267568,77.69258124221263,61.0,탐욕
2018-12-04,68.52917313388318,21.70962505607407,22.40439739702324,94.63183248042678,85.76412575929986,63.08785166930664,59.4,중립
2018-12-05,68.12662258530122,18.633614466366655,20.710887941351874,99.29933631666067,68.57926013295483,61.812800618868145,56.2,중립
2018-12-06,58.477570296822975,11.235311818594889,16.574658574252137,99.9079607099859,44.12478995477649,34.73961728131668,44.2,중립
2018-12-07,58.370360278496975,13.607187510379514,17.64361949187124,99.68031939512615,43.38297776301382,42.84799703573848,45.9,중립
2018-12-10,53.647022632655606,9.668310441585287,15.128643982083734,1.250982348764893,41.052844763221,37.820747627284554,26.4,공포
2018-12-11,54.59243221455072,10.233935598531923,15.212162496171617,91.72811030640916,43.85199434522584,41.479697446277164,42.8,중립
2018-12-12,44.95034942809143,18.538061281855754,19.15657950925036,86.04292501546698,66.12327779236928,61.12762623013577,49.3,중립
2018-12-13,47.62373384016103,23.899152571663446,21.179272673147096,65.13234559216203,78.44223852256276,56.31989005850703,48.8,중립
2018-12-14,41.06117397342221,16.604665341108326,17.754588391727776,70.51156544706629,50.487469123631314,40.9921352251361,39.6,공포
2018-12-17,42.05563641038361,18.00758566330984,18.16546951704566,77.31423576163633,40.74258585695756,39.148331249040844,39.2,공포
2018-12-18,44.50383437280435,16.249362715278693,17.172499661125055,88.22791718278786,30.391649450706183,42.494695403694266,39.8,공포
2018-12-19,41.84938013509254,22.293834619065972,19.611660062231138,80.7643874130314,37.468879473683565,48.43430298009325,41.7,중립
2018-12-20,38.89843798982744,17.232574403618862,17.27541530608815,79.76948543205366,36.59851241409221,41.87818985916317,38.6,공포
2018-12-21,40.59907583304457,18.45876224700993,17.643396432034848,59.76900734972652,15.32642927270979,54.34953896277585,34.4,공포
2018-12-24,47.74094469426574,17.369234897163317,16.986818641180484,35.362010535959584,18.771959822665625,41.615622063922515,29.6,공포
2018-12-26,44.96704278966289,11.201879395807401,13.910481992491352,20.2726114127488,14.513362937658252,22.929287846908046,21.3,공포
2018-12-27,46.57687696883212,12.016214373322704,14.13864902947471,16.301102792313372,27.064810172369626,18.641846140637462,22.5,공포
2018-12-28,44.685887390679305,16.03104518007551,15.820511839152523,10.413724127300556,31.56012677417942,23.15446934646478,23.6,공포
2019-01-02,38.635515294623445,9.341778768867155,12.45167346715743,12.877995802945863,26.833802594995316,19.386132987542254,19.9,극도의 공포
2019-01-03,55.10465553763642,7.070555064740201,11.210830914037462,26.92619025361762,20.45138538277097,6.749827716531838,21.3,공포
2019-01-04,50.41992636625455,10.668725427877945,13.09136274382714,41.449023851017316,12.86753948256456,16.42880647160666,24.2,공포
2019-01-07,40.310217192177525,18.37189673008751,16.44390428507623,49.357023254030466,21.131029035467797,32.729088916050564,29.7,공포
2019-01-08,48.815274497012794,15.592892321780038,15.17061097217891,61.015995107227006,27.17881471032924,,33.6,공포
2019-01-09,31.9808041426392,29.962184593823327,20.62837747000164,68.55980754256147,54.396753042116195,68.68325894754905,45.7,중립
2019-01-10,36.59110802881056,30.20348556787435,20.611544795179743,60.64991761352048,58.883392615576255,61.63518043672013,44.8,중립
2019-01-11,35.44522256015587,36.34163302097344,22.660311110233565,52.10480328063093,56.00184668548388,77.20456646884406,46.6,중립
2019-01-14,43.10890272645289,32.49668987492848,21.164834350344037,51.62889964161196,61.09989609617708,71.96193266477208,46.9,중립
2019-01-15,34.04918523124283,48.28673740030833,26.59992837722598,55.339302361356715,77.05486393388735,69.96471292920418,51.9,중립
2019-01-16,40.64689752757725,53.38764296674954,28.351448610177503,69.29634046159087,83.11718030137025,67.71026344487267,57.1,중립
2019-01-17,40.71652984945111,54.84811872005656,28.72884906770668,79.19466154358261,93.34805646120986,79.04463858389413,62.6,탐욕
2019-01-18,40.01937997931135,63.82769272687888,32.110485603558324,85.60088017798468,95.12434743850007,86.1872572293455,67.1,탐욕
2019-01-21,42.10840668164821,64.86798170904355,32.39445608538274,83.00275289521367,93.71451622075774,89.11336347286247,67.5,탐욕
2019-01-22,46.13225188936171,62.60195084848793,31.314116227290334,81.18707170191618,98.22027770899389,84.42159940912686,67.3,탐욕
2019-01-23,45.78093378561604,67.90534635122191,33.456987808659356,67.58177939826432,99.53591695086263,91.31628186665604,67.6,탐욕
2019-01-24,45.271917409327045,75.7489784287495,37.134122357462914,54.52955721609549,99.48202938001887,92.59916491142593,67.5,탐욕
2019-01-25,50.32359856494165,86.82505633743031,44.24713664071754,44.84964967197853,99.48980932325757,97.1240098372754,70.5,탐욕
2019-01-28,50.26882102903779,87.09263780597387,44.43793742547097,42.27005385075465,99.80133320417141,98.8700844344643,70.5,탐욕
2019-01-29,50.69172735452154,88.91076015929677,46.04004718374929,54.648718326426106,99.65603433749672,99.17121872087675,73.2,탐욕
2019-01-30,67.21477084278953,93.57779996747746,51.37449837719138,59.37115329262237,99.7619636345246,99.38687314504683,78.4,탐욕
2019-01-31,74.01849427239384,93.53386701304406,51.39326348362242,72.43644279625028,99.64012769817265,99.73010219033125,81.8,극도의 탐욕
2019-02-01,73.13288398318684,93.44593912443683,51.383975053464546,77.94630641287608,99.85759538677776,99.79761601979423,82.6,극도의 탐욕
2019-02-07,76.21366176407926,93.64433988556344,51.720621332197624,83.54628048315595,99.7648892959478,99.48927107666515,84.1,극도의 탐욕
2019-02-08,68.72601029693367,88.77191774029482,46.05505150519964,66.06765319482908,95.54096473953855,97.10030506045254,77.0,탐욕
2019-02-11,81.1284968720786,90.03500483009898,47.24541404870525,55.486949363152846,95.77308391247165,93.4340534463196,77.2,탐욕
2019-02-12,81.59249777005898,92.41382146529581,49.876599123662366,38.10092272564514,94.89362975110316,95.85561352245338,75.5,탐욕
2019-02-13,81.82820099329862,94.56782918676488,55.37875293558771,29.713924944670556,96.02267715125414,95.5937947655859,75.5,탐욕
2019-02-14,82.50733969952036,97.3762651676063,61.72642019091569,44.32912623177873,98.46826402224984,98.1908787366081,80.4,극도의 탐욕
2019-02-15,77.77263337598818,94.21765317577976,54.77526386242453,47.105706682646215,89.73402773332506,91.84223617369285,75.9,탐욕
2019-02-18,77.09637321667088,96.3253487091157,63.24077143332023,40.95828668259454,89.26501947511476,93.10596842980505,76.7,탐욕
2019-02-19,76.19449502507021,95.82603911856154,63.28299180458249,38.44397565376155,74.73801555562396,92.45054271047353,73.5,탐욕
2019-02-20,74.27143478530984,97.9465497756844,69.86493035245694,34.849454873393285,84.5816320940919,92.65491073716444,75.7,탐욕
2019-02-21,74.0269200406062,97.80634441478058,69.811311285533,14.468879961300452,81.80540378267305,92.53489435535286,71.7,탐욕
2019-02-22,75.30969422648354,97.8196067779479,70.40097763500022,15.558441665944306,71.95590156055954,94.07941306046665,70.9,탐욕
2019-02-25,75.26436661301021,97.85252070457184,71.05800851527164,19.511378384240963,74.0021278378962,93.19604855879597,71.8,탐욕
2019-02-26,75.66080487941812,97.30130858134831,69.64077916224576,15.969215210764082,70.20713827730779,89.34223018900258,69.7,탐욕
2019-02-27,83.57916279165255,97.79143001296914,71.79749510031245,12.080187696590606,74.48639466740057,81.45863276291942,70.2,탐욕
2019-02-28,67.46011975193142,93.41808316575846,61.565236070912036,21.040463569932534,64.8101541202236,67.35026902661332,62.6,탐욕
2019-03-04,67.27535411850906,92.61980978986088,60.430289816151294,21.51052854686662,58.851810844632425,64.69133338346472,60.9,탐욕
2019-03-05,71.51537575984295,90.49742663430801,57.41053486249117,22.808702766381884,43.896435119895074,49.79883929757475,56.0,중립
2019-03-06,71.26847641787148,89.8083712662286,56.56695738068731,28.50573503634323,33.11855439449965,50.17541784316221,54.9,중립
2019-03-07,70.36333989380354,87.63482878891055,53.92735063380909,33.317215848019075,12.183315055986277,47.32805084278301,50.8,중립
2019-03-08,62.97501682518972,79.25238720744157,45.75347649670521,12.950805331065085,12.51738578142606,34.40439343955937,41.3,중립
2019-03-11,68.65175614521529,79.97480502745476,46.20296489417451,7.482791029675775,5.8151178532393955,47.06919997465463,42.5,중립
2019-03-12,63.972110766792625,86.3549706964673,52.17614555976289,11.17222779569741,17.45083440143031,55.56910162379361,47.8,중립
2019-03-13,64.60781099539,84.1644956784613,49.80637247422873,10.136881455393072,3.9271999152752106,44.061597554471774,42.8,중립
2019-03-14,65.31294199939526,86.54207641154596,52.24288721948771,15.948476561239112,6.7418480253043755,42.217215991446736,44.8,중립
2019-03-15,67.01608231632358,91.3834330560598,58.587216777783304,31.054707714940378,16.643876342435394,42.20417140786603,51.1,중립
2019-03-18,74.74851960425273,92.02785085287435,59.744308823980305,33.99769105432882,17.575712163687374,57.858513243983566,56.0,중립
2019-03-19,77.16541750413957,91.70072571900893,59.40043493010268,27.95470026628396,19.183783514204393,48.11437234941,53.9,중립
2019-03-20,77.10222987137789,91.62898729596797,59.44352283474584,35.971410565456694,13.937727514571952,49.40492887198331,54.6,중립
2019-03-21,82.50807311270802,93.03212744983449,62.00076497465915,37.60507784555781,42.4631761491499,39.65550121089258,59.5,중립
2019-03-22,82.16339018869172,93.40190523377198,62.907757819469836,30.564732201906015,49.233590410515774,38.868610674400585,59.5,중립
2019-03-25,66.206814204767,84.17947547174494,50.359691452283315,43.77180798919099,26.63246968844778,20.732076100030483,48.6,중립
2019-03-26,65.72326150833536,85.74136389753181,51.939205768443784,42.17460472571,32.1719444677261,22.66932945066801,50.1,중립
2019-03-27,65.63941028723059,85.21615513806873,51.266943239945014,49.46074190418557,36.63235187298325,20.332057386997814,51.4,중립
2019-03-28,65.37587331599352,80.2088607113036,45.99859868762029,39.85110981538852,45.16868306927576,13.023877590015632,48.3,중립
2019-03-29,75.23763619923557,84.68968738791473,50.39202948297511,52.6674440777402,56.00899814584783,28.21934214507059,57.9,중립
2019-04-01,65.19949149932,91.58599974917037,59.650438041037354,49.507025774094856,62.55653459447784,40.80206907697656,61.6,탐욕
2019-04-02,65.40858408761768,93.31341816352273,62.84903300373905,43.56388733091616,75.00027718027204,48.79966365303738,64.8,탐욕
2019-04-03,58.19045105864088,96.61485687172674,71.08299895219784,41.31781660767,82.92922918554666,63.662949154482796,69.0,탐욕
2019-04-04,59.65725073159044,96.92551569544605,72.43286749203189,62.52938654780718,75.99347019187783,69.86625879594858,72.9,탐욕
2019-04-05,70.69787846641736,97.13484138890763,73.52128537536457,78.68304821186847,75.82106851663974,82.94979789158933,79.8,탐욕
2019-04-08,70.53219175532081,97.15710412594687,74.06505915600168,86.22200114385734,77.6202060435172,80.80927140385594,81.1,극도의 탐욕
2019-04-09,73.26098045180916,97.30905196863081,75.1677358308434,95.81263353870433,79.32127315288801,75.55943400467248,82.7,극도의 탐욕
2019-04-10,74.12190594642641,97.92879907417999,78.20414902218357,95.94727068691262,80.4711964235866,83.01689528226161,84.9,극도의 탐욕
2019-04-11,73.93756515162318,97.83357237871661,78.44470976149724,93.54845300257959,79.48252564801915,80.18363761649647,83.9,극도의 탐욕
2019-04-12,76.74181683597195,98.22638531712859,80.89780409659777,87.02599758489026,98.72951990434412,76.07064238649104,86.3,극도의 탐욕
2019-04-15,76.14426418352495,98.52242359972398,83.26886167873218,88.14116033686275,98.75612975848685,79.54623706009923,87.4,극도의 탐욕
2019-04-16,76.21437366263888,98.63306873037548,84.69614632262245,93.52058354471001,99.10669051387897,82.93590908270023,89.2,극도의 탐욕
2019-04-17,75.79170508194028,98.3713714009578,84.23490549864748,94.01316365490283,99.84373370277694,83.25840112876523,89.3,극도의 탐욕
2019-04-18,62.90889692157479,95.97544857318385,76.69680736222651,97.42398803194489,94.33992530235732,69.41844274733752,82.8,극도의 탐욕
2019-04-19,62.750610903773804,96.0273652748089,77.57444146523866,97.71260422675101,89.5268764274871,70.53723406728183,82.4,극도의 탐욕
2019-04-22,84.432594966869,95.88829997912538,77.98592257963482,98.20761135838801,86.61133497733708,87.3972590793974,88.4,극도의 탐욕
2019-04-23,84.24570075248782,96.07824662537632,79.29208016778556,94.08420999396895,72.90444089228387,85.68896442577527,85.4,극도의 탐욕
2019-04-24,79.43659892273213,93.67000171212405,74.21647481350332,96.00422186097155,43.922824025542255,83.60797292039597,78.5,탐욕
2019-04-25,81.87162429094549,91.83218827459034,71.35105329212847,86.93767646560777,30.475519644653104,85.19111500063985,74.6,탐욕
2019-04-26,80.83857712535458,89.54854680813227,68.1361850560395,85.68963513846799,22.161644579866262,78.41302609846916,70.8,탐욕
2019-04-29,74.70389049953235,94.94124834752526,79.5793498630353,71.73230884735383,52.88803801948839,78.27318235316827,75.4,탐욕
2019-04-30,72.695027567051,92.95635896237141,76.37663892063755,55.41774514228327,35.1944524551232,69.94944180452333,67.1,탐욕
2019-05-02,78.87043415465429,93.8684553688535,79.37872875959715,29.379400530324606,42.53439197812297,64.56859867697285,64.8,탐욕
2019-05-03,75.90733003705154,91.0421252785993,75.1437520241423,45.54973234945513,26.827813213961786,58.4512808081205,62.2,탐욕
2019-05-07,72.30546816372726,86.806071824431,69.38812819690709,36.05961332649964,14.680875805052656,46.96534319267874,54.4,중립
2019-05-08,71.80695629780982,84.25385747703896,66.74310241070232,42.4286783279624,10.387491879305994,45.187938668821474,53.5,중립
2019-05-09,29.54187539412007,61.525913777294164,41.72504776506783,75.84971662260567,4.66526690051869,19.057983805203133,38.7,공포
2019-05-10,30.801454962136162,63.90041607011432,44.40430069104568,93.31355337627147,8.764112281550373,18.48699792966787,43.3,중립
2019-05-13,26.69187708374868,51.821059902398794,33.48806804617557,85.67729964891879,5.864431739858472,12.115146545645528,35.9,공포
2019-05-14,28.131409853922577,53.151199858687725,34.79008559166259,93.0297090955736,6.554907977250143,10.761158659302827,37.7,공포
2019-05-15,27.634511824500365,57.97483522134724,40.14707298659125,95.23228007911104,8.47634109987606,9.746958513098614,39.9,공포
2019-05-16,26.752167911045206,47.39165294825434,31.383664984458616,93.52658788196072,8.165209189699041,4.764207740743334,35.3,공포
2019-05-17,27.200285068813642,42.507944192688015,27.282889626764558,82.92389075953561,8.237338723030208,3.687148940397076,32.0,공포
2019-05-20,30.99468252047501,42.63217544051872,27.406653395979923,90.00714497533487,9.428813279454362,9.230342392593105,34.9,공포
2019-05-21,30.42961454105638,45.12166511555303,29.847311535251343,79.33883949438948,2.7909359632224384,9.221892350556832,32.8,공포
2019-05-22,30.041974705662085,46.83668903235093,31.594566990264116,73.25955077998873,3.9479210950369334,8.91133941459355,32.4,공포
2019-05-23,31.356975095940413,44.78148735937715,29.520061894718364,47.25768327823205,2.449880295008055,7.471901771025431,27.1,공포
2019-05-24,32.181066064972015,39.03145825521749,23.816356271738005,43.56072125963836,2.632144921219471,7.828873316539517,24.8,공포
2019-05-27,32.04023508427059,38.84024790427014,23.484205099411547,17.675653271788335,3.2808032639486173,11.373282267170005,21.1,공포
2019-05-28,31.0836654095437,41.000262015319436,25.48093146829381,16.67281802696,4.8144024021853875,14.307158223231825,22.2,공포
2019-05-29,48.408592600816206,30.908960472378443,16.154024045990596,9.147622138225609,8.573351002353412,4.261402566495307,19.6,극도의 공포
2019-05-30,41.464420435270114,37.28853679519947,21.75214584532414,6.655085481512317,13.689809549515285,7.8441389170954805,21.4,공포
2019-05-31,43.457602867141865,38.77903791311179,23.04200908652758,5.009822932150461,25.902307886760234,5.229815830185925,23.6,공포
2019-06-03,31.9481557872989,50.25656773391374,35.212766806371526,8.084800721306657,46.36672926552502,11.204704636476759,30.5,공포
2019-06-04,33.474890533051095,50.13197397241078,35.018131525035244,6.337758433560012,36.49657992376092,15.204411506719516,29.4,공포
2019-06-05,33.256390653788415,51.33203190737431,36.382293264889256,7.0348317840379675,57.843325267476416,16.623925602741124,33.7,공포
2019-06-07,77.05657809255462,52.924094875784256,38.365039409135655,6.4829088069185286,71.98126656037027,40.392183175298214,47.9,중립
2019-06-10,67.84858171399998,64.70901464714986,55.05966179452678,9.81129602197776,85.41585955777528,49.99907291927331,55.5,중립
2019-06-11,76.95931312575534,69.64529848943708,62.522164580811015,20.67182747558955,87.25712160788895,68.05697370115365,64.2,탐욕
2019-06-12,76.70079811694514,68.38820004084388,60.99396928793128,48.61167135022301,84.25035891621711,61.27209198448581,66.7,탐욕
2019-06-13,77.36408477578343,66.04064174671254,58.04349092010624,69.47946037159774,83.86837604917933,54.94968362434356,68.3,탐욕
2019-06-14,83.99771743984005,62.83214244073447,53.82373748428924,85.49507554177376,87.56144057919853,63.843029509268156,72.9,탐욕
2019-06-17,85.40854177342229,60.799300126760144,51.3557278489289,91.13714808957153,85.29732321863011,67.93837167028995,73.7,탐욕
2019-06-18,85.03715275430011,64.04046167283227,56.534630866744294,93.66764978709048,86.12838963923912,69.19987195625839,75.8,탐욕
2019-06-19,79.26236103467618,74.03686799663924,71.92849661429757,95.68523008613383,97.96906361594041,76.25106440927382,82.5,극도의 탐욕
2019-06-20,79.11338558148523,76.20123765727476,75.56501765255842,99.42762690720966,97.55714803716282,74.21230125471013,83.7,극도의 탐욕
