pBB7-_ZBF4U	[그냥효] 미국 채권 시장을 뒤흔들며 공포에 떨게 만드는 세력의 정체	NA
rFy_wulqgvw	It's such an attractive market that there's no reason not to buy stocks, but... there's one major...	NA
TsX23S3vlqY	시장에서 너무 고약한 냄새가 풍기더라구요. 그래서 팔았죠ㅣ홍춘욱 박사 [1부]	NA
TaaRAteqm24	[Breaking News] Someone Paid 100 Billion Won for a Pizza? The Secret Behind the US Stock Market D...	NA
zFcFdKOaxQE	[속보효] 간밤에 일어난 미 증시 급락! 미국이 통째로 흔들린다!	NA
RHNf6N6Z7UQ	[속보효] 비트코인 All Time High! 향후 전망은?	NA
4gWPcjKvPc0	영업이익 870% 폭등해버린 셀트리온 회계 장부를 까보니까 이런게 있네요ㅣ김수헌 MTN 기업경제센터 센터장	NA
aIVdoQ2lLTc	[그냥효] 미국의 신용등급 강등보다 더욱 충격적으로 다가올 글로벌적 경기 침체의 위기	NA
X1RuyiJIcN4	[그냥효] 엔비디아 비트코인 매입 루머, 왜 이런 소문이 났을까?	NA
hnB5m7c1zrs	Tesla's Low-Cost Model Launch: Will It Begin a Rebound? | Center Director Kang Jeong-su [Part 3]	NA
H97HBiPY1uY	로봇 춤이 세상을 흔든다? 테슬라의 충격적인 기술ㅣ강정수 센터장 [2부]	NA
56Ordox1IyM	6월 테슬라 로보택시, 진짜 시작합니다ㅣ강정수 센터장 [1부]	NA
FjkSLWgPw-s	대선 결과가 투자에 미치는 영향은?ㅣ키움증권 한지영 연구원	NA
n3RsWh6a9i4	The Bank of Korea Should Buy Bitcoin, Not Gold | Gus Kuhn, Author of "Satoshi Therapy" [Part 3]	NA
SvdxoYbbmM4	금은 비트코인에 비해 모든 것이 부족합니다 ㅣ'사토시 테라피' 저자 거스 쿤 작가 [2부]	NA
xMhVqMA0xF0	돈의 본질도 모르고 비트코인을 논하지 마라!ㅣ'사토시 테라피' 저자 거스 쿤 작가 [1부]	NA
bCAqir9VjGM	[그냥효] 사우디, 미국 빅딜 성사! 트럼프가 숨겨놓은 비밀	NA
QPGJarsCnz4	[먼슬리구루] 경기 침체 안 와요, 이미 지나갔거든요 [4월 3부-캐시우드]	NA
S1BPKTx3lgE	[먼슬리구루] 마지막 경고입니다, 경기 침체 진짜 옵니다 [4월 2부-레이시 헌트]	NA
oZPyyamrgco	[먼슬리구루] 관세 끝나니까 좋아? 그보다 더 무서운게 있는데? [4월 1부-레이 달리오]	NA
bXO_BdYqOFs	[속보효] 미국, 중국 관세 대타협! 본 게임은 지금부터 시작!	NA
UojLqlItktM	[속보효] 모두의 예상을 깨버린 트럼프와 시진핑의 관세협의, 이유는 바로 '이것'	NA
6aWVWBk_mOc	[Just Hyo] "I think I'm good at buying..." Characteristics of people who fail at investing	NA
1GZwE7lJjL0	[Moraguhyo] Bitcoin Recovers to $100,000! The Hidden Secret of the Surge	NA
_Ez7oi59fu8	South Korea's Stock Market Is Worse Than Japan's | Align Partners Asset Management CEO Lee Chang-...	NA
BDl_GYXbOek	[속보효] 5월 FOMC 리뷰, 아무것도 하지 않겠다는 파월	NA
HJzdcF7vXtE	[그냥효] 환율이 이상하다구요? 제가 설명해 드릴게요!	NA
g8mHBIFrhDI	[속보효] 글로벌 환율전쟁 시작! 더 심각해진 FOMC 내부분열	NA
IypLpLAhqto	[속보효] 아시아 환율전쟁 진짜 근본 이유는 이겁니다!	NA
6OcqKV1zPa0	For these companies, delisting is the answer. Lee Chang-hwan, CEO of Align Partners Asset Managem...	NA
hnxyCtIsxlo	거버넌스로 돈 버는 법 공개합니다ㅣ얼라인파트너스자산운용 이창환 대표 [1부]	NA
qCmDIO3Oeko	[Morning Hyo] Markets are exhausted by Trump, and Palantir plummets 8% after-hours! What's going on?	NA
av6_xGu8K7o	[짐 로저스 단독 인터뷰] 워싱턴이 걱정말라고 할 때가 '진짜 걱정할 때'	NA
ywv8V6vf5Rk	Warren Buffett's Retirement Announcement: A Beautiful Exit and the Advice He Left Behind	NA
8Us4SqSajMM	[Just Effect] If crude oil prices fall below this level, it's a strong signal of a recession.	NA
K0apdvLjfwU	[월간아신 4월] TSMC 신기술 발표 삼성,SK의 미래는? [풀영상]	NA
qM--ucBsWII	[속보효] 미국 정부가 여기에 목숨 걸었습니다	NA
Ogw1FVC0bY0	[Moraguhyo] Markets rocked by tariff storm, but these stocks are the exception.	NA
o5KLs9yc-FE	[월간아신 4월] 중국시장 막히자 엔비디아가 이걸 꺼내들었다 [3부]	NA
3rK76Mryvmw	[Monthly Asin, April] New AI Packaging Technology Could Truly Change the Game [Part 2]	NA
KFlTHfMND-0	[월간아신 4월] 파란 테슬라, 삼성에 반도체 통으로 맡긴다? [1부]	NA
GC-KGK4_OMw	[그냥효] 큰손들이 움직일 때마다 여기에 흔적이 남습니다	NA
bapXetj_MMo	[Breaking News] Bitcoin hits record high in Q2? It'll hit 300 million by the end of the year!	NA
4er-aOl77HI	[모터뷰] 전쟁으로 박살난 전차 1,000대, 유럽의 선택은 현대로템?	NA
NpRbMs5uiP0	[Just Hyo] A surprise gift from Yeonjun that no one knew about!	NA
jEM3x9LSAUc	[Just Hyo] The common method of people who make a lot of money is 'this'	NA
eLPqkvrFZFg	[Moraguhyo] Is this rebound real or fake? The decision will be made on May 7th.	NA
Upw1E-8_CEQ	세계 종말 시나리오, 진짜 멸망이 올 수도ㅣ김민석 기자 [3부]	NA
vviQ3CnE7xk	TSMC, 가질 수 없다면 부셔버리겠어ㅣ김민석 기자 [2부]	NA
vP1vUcUcZn8	[그냥효] 미국이 가진 무기, 관세말고 더 큰거 있다!	NA
jdGkvI2XvJI	미중전쟁 시나리오 아무도 예상 못한 결과ㅣ김민석 기자 [1부]	NA
2ZvtYm7OwtY	[속보효] 비트코인이 반등한 5가지 이유	NA
mcUTGnHcO0A	K-팔란티어, 이제는 시작해야 합니다ㅣ정주용 그래비티벤처스 CIO [3부]	NA
RQ-aHI_8nyY	It's okay to be sick now. China will be even more sick. Jeong Ju-yong, CIO of Gravity Ventures [P...	NA
fgr1zBnK7g8	[속보효] BCA 리서치 경고! 경기침체 확정, 얼마나 심각할 지를 물어라	NA
NSGkfL05mto	미국이 설계한 환율전쟁 시작됐다ㅣ정주용 그래비티벤처스 CIO [1부]	NA
iyixa1scWzw	[그냥효] 상법개정 말이 많은데요, 제대로 아시는 분이 없더라구요. 제가 한번 제대로 설명해보겠습니다	NA
BQfWlL1hhoc	[그냥효] 미국이 AI 패권을 놓치게 되면 벌어지게 될 정말 끔찍한 일은 '이것'	NA
RqUOYAMZ_OQ	[모라구효] 중국 배에는 20억 벌금? 미국이 진짜 세게 나갑니다	NA
B_PwDr8P3ug	미국, 중국으로 몰릴 때 인도는 열려있습니다ㅣ강황맨 [2부]	NA
yfDqZAlWrQs	한국 투자자들 지금 인도를 놓치고 있습니다ㅣ강황맨 [1부]	NA
S-8Ax8oBWLA	[Review] The United States will abandon Taiwan.	NA
lmx4gdO2OMU	[속보효] 한국은행 금리동결! 이창용 총재 "우린 틀리더라도 계속 문제 풀면서 갑니다"	NA
dyhrFPhixqw	[속보효] 나스닥 급락 배경에는 파월의장의 변심이 있습니다	NA
_dagpEUKAQo	[그냥효] 가장 미국스러운 방식으로 계획된 '판 뒤집기'	NA
9VRtZlNtn6A	제 인생에서 가장 진심을 다한 시간이었습니다	NA
5A_f16FC9PY	[속보효] 지금은 행동하지 않는 것이 훨씬 더 위험할 수 있습니다	NA
vLgRnE_Ti9I	[Breaking News] Feel the depth of Howard Marks' thoughts!	NA
cDEfLjED7co	[Breaking News] Trump has finally come to his senses! The tariff reprieve has arrived!	NA
tXUBrl8AejU	[그냥효] 트럼프를 '개'무시한 시진핑, 2라운드 시작전 반드시 알아야할 '이것'	NA
h9YZD5Uo85k	[I don't know] Is Trump a true villain without any thoughts?	NA
H2QgUbeMJBA	[속보효] 미국 30년물 국채를 두고 벌어지고 있는 무시무시한 이야기	NA
dDw8h_PA2FI	Seoul One I-Park alone earns 1 trillion won...? | Researcher Bae Se-ho [Full Video]	NA
fR8BDt6npKI	[속보효] 간밤에 나스닥 12% 급상승!!!! 저도 이런건 처음봅니다... 트럼프가 이런 결정을 하게 된 결정적인 이유는 '이것' 같아요	NA
VqLuMhcUKME	한국은 AI 시장에서 실패하는 아주 정석적인 루트로 가고 있습니다ㅣLG전자 조봉수 상무 [2부]	NA
bvslLeta7xk	AI는 선택이 아닌 필수입니다. 사용하는자와 안하는자의 초격차는 더 벌어집니다ㅣLG전자 조봉수 상무 [1부]	NA
Zv06CQgsaPo	[Breaking News] Trump's Contradiction: Is He Trying to Make Everyone a Beggar?	NA
xhZEBYSjW6Q	[속보효] 전일 시장에서 주목해야 할 5가지 포인트	NA
zl4ZALKh-1E	[Just Hyo] Did you know this, everyone? About the "this" the Trump family is secretly hoarding.	NA
BVC4E4tRVq0	[속보효] 블랙먼데이, 도대체 이유가 뭐야? 이러다가 정말 다 죽는다	NA
NXltE3ZMkCU	[Breaking News] Trump remains unmoved by historic margin calls, delaying tariffs? Wake up!	NA
tali-LlIbcA	Construction stocks: So, should I get in now? Find the answer here. [Part 2] by Bae Se-ho, iM Sec...	NA
BDzPHqOdOSU	Thank you for your hard work in real estate. Just go up with the construction stocks in Seoul. Ba...	NA
riT--axq8eU	[그냥효] 트럼프가 뒤집어버린 시장, 어떻게 봐야 할까?	NA
WxEJAxGH95k	[Moraguhyo] Now is the time to hold on, cash is life.	NA
DuYX-LBFm_A	[속보효] 이틀 만에 5조 달러가 날라갔다!	NA
f5ACWbWef1I	일론 머스크의 반전 시나리오, 침몰 중인 미국 구하나? [스파클링 투자클럽 7부]	NA
KISzPvPdioE	[Breaking News] Trump's snarky remark: "The market reaction? I knew it would happen, didn't I?"	NA
uCWChE9wqhA	공공지출에 중독이 되어버린 미국, 그리고 트럼프가 내린 극약 처방은 '이것'ㅣ오건영 단장 [풀영상]	NA
Wy9RdP2-1VQ	[속보효] 트럼프의 진짜 생각을 알기 위해 백악관 자료를 꼼꼼히 다~ 읽어봤습니다!	NA
h8fpUcmHPsQ	I hope there will never be another victim like this again.	NA
NzZShMIs2vU	If you want to be a leader in the next director's race, you must check out this policy. Director ...	NA
b2xpkDfYHkY	누가봐도 기술력이 한참 모자란 중국이 미국에게 비빌 수 있는 이유는 '이것'ㅣ이선엽 이사 [2부]	NA
YbFJXyZd7mM	강력한 금리인하 시그널이 옵니다. 이 '2가지'만 보세요ㅣ이선엽 이사 [1부]	NA
yYKSSXFI75E	[먼슬리구루] 하락장에도 피는 꽃이 있습니다. 세 거장이 전하는 봄날의 조언 [3월 풀영상]	NA
r2To3-xWbec	[월간아신] 일론 머스크와 샘 알트만의 AI 전쟁에 소비자는 그저 즐거울 뿐입니다 [3부]	NA
KJ_T1Upg8cc	[월간아신] 엔비디아 젠슨황 "지금부터 피터지게들 한번 싸워보세요" [2부]	NA
LUWZYpyjp6E	[월간아신] 한국 반도체 시장은 이제 중국 따라가기에도 급급합니다 [1부]	NA
PVEL1volm-k	[그냥효] 충격적인 한덕수 대행의 상법 개정 거부권 행사! 이러면 국가경쟁력이 올라갈래야 올라갈수가 없습니다.	NA
bqyJ9owZutA	[속보효] 나스닥 또 급락 출발, 근데 아무리 생각해도...	NA
1O2EN8AIgm0	[Motor Interview] Is Spring Coming to the Semiconductor Market? This is the Buying Strategy for S...	NA
lofzqUUt_Bk	중저가 시장을 학살하는 대륙의 실수 #박지원 #셀러브리티 #ceo #celebrity #ceolebrity	NA
QtGbohwEEzI	[그냥효] 코앞으로 다가온 공매도 재개! 그 전에 반드시 알아야 할 진실은 '이것' 입니다	NA
c9j4ZzfHk7E	이래 놓고 애를 낳으라고 합니까? 저도 기성세대지만 이건 해도해도 너무하는 결정입니다ㅣ홍춘욱 박사 [풀영상]	NA
x5Jb0aGmDx8	[모라구효] 미국 주식 시장은 '이것' 성공하면 역회전이 아주 강하게 걸릴 거예요	NA
rOEDYKwTRE4	Gold rises in times like these. Remember these conditions: Oh Geon-young, Shinhan Bank General Ma...	NA
E9sNDXHLrxE	초강대국 미국만 계속 잘 산다? 앞으로 그건 쉽지 않을 것 같습니다ㅣ오건영 신한은행 단장 [2부]	NA
CqoDSPYzsww	지금 때리고 있는 관세 폭탄은 미국에게도 큰 부담이 됩니다ㅣ오건영 신한은행 단장 [1부]	NA
Pw6dFQkNvqo	Trump is forcing stimulus measures for this sector. Watch for this in the second half of the year...	NA
6YxeUgdTExQ	AI 꺽였냐구요? 이것만 말씀드릴게요 AI를 한번이라도 쓰게되면 쓰기 전으로는 돌아갈 수가 없습니다ㅣ김효식 삼성액티브자산운용 팀장 [1부]	NA
bOIMh90NvsE	[먼슬리구루] 4월 초에 방아쇠가 당겨집니다. 인간 돈 복사기의 묵직한 조언 [3월 3부 - 래리 윌리엄스]	NA
dgiI8umi7zU	[Monthly Guru] There's a Reason Why Tesla Can't Be Highly Appreciated [March Part 2 - Ron Baron]	NA
X3v_gj7zgG0	[Monthly Guru] America's Tariffs Are All a Fake. And I Love It Here [March Part 1 - Ken Fisher]	NA
uMxusxPJ9wA	[Breaking News] The Bank of Korea's Message to Investors: "You Should Diversify Your US Stock Inv...	NA
goyZJsEqG3U	[속보효] 또 트럼프, 자동차 관세 폭탄 때문에 나스닥 -2% 급락	NA
sUb_a39JESQ	빈수레가 매우 요란한 법이죠. 대한민국 K-콘텐츠의 속사정은 이렇습니다ㅣ최준 한국은행 박사 [풀영상]	NA
Gl89KHYk9rg	레드썬! 모두 환상에서 이제 모두 미국 주식이란 환상에서 깨어나셔야 합니다ㅣ홍춘욱 박사 [2부]	NA
rwrskji88z4	[속보효] 마이크로소프트 CEO 나델라가 한국에 왔다길래 얼굴 한번 보러 갔습니다	NA
N-0_8jY-yEc	There's a Chinese company that dreams of becoming the world's No. 1. It's right here. Professor E...	NA
fi8xSx_qATs	올해 중반, 하반기 넘어갈 때 반드시 지켜봐야 하는 바이오 종목은 '이곳'ㅣ이해진 대표 [풀영상]	NA
rbBZjDE_Dtk	미래를 팔아먹은 국가죠. 최악의 폰지사기 지금이라도 그만두어야 합니다ㅣ홍춘욱 박사 [1부]	NA
TzKckgqmeg4	트럼프를 대통령 말고 '이것' 으로 생각해보시면 그의 행동 예측이 매우 쉬워집니다ㅣ정주용 그래비티벤처스 CIO [풀영상]	NA
46-4OlLNa6U	넷플릭스 납품하고 저작권 사골을 끝까지 우려먹는 일본, 만들고 끝 권리는 없는 한국ㅣ최준 한국은행 박사 [2부]	NA
3gMOXq234v4	대한민국 서비스 수출의 현실은 정말로 애매합니다. 신흥국도, 선진국도 아닙니다ㅣ최준 한국은행 박사 [1부]	NA
ZDN-rvHuIx4	[그냥효] AI 성직자까지 등장했습니다. 인간은 뭘 하고 살아가야 할까요?	NA
ryPXdhIrEHY	진짜 이딴게 전략? 미국이 준비 중인 반전 카드ㅣ백서인 한양대 에리카 교수 [2부]	NA
VKNfBkNE0pw	불이 꺼질 중국의 공장들, 근데 물건은 계속 만들어집니다. 왜? 로봇이 다 만드니까요ㅣ백서인 한양대 에리카 교수 [1부]	NA
-r7a9OQ9kNY	이효석 아카데미에서 1억원을 준비했습니다! (선착순 1만명)	NA
37hICWrNcyE	[모라구효] 삼성전자 6만선 회복! 근데 그 이유가 누구 때문이라고??	NA
aD7lMhRJwEU	바이오, 왜 지금이냐고요?? 남들이 안 볼 때니까요ㅣ이해진 대표 [2부]	NA
vuYTqW_NJoI	5년 후에 10배 오를 바이오 기업에 투자하는 방법, 제가 한방에 정리해 드립니다ㅣ이해진 대표 [1부]	NA
ZGLR2iKJ_iY	[그냥효] 넷마블이 코웨이를 인수하고 벌어진 끔직한 일들에 대하여 한마디 하겠습니다	NA
iM4ZD9ojuiM	[속보효] 3월 FOMC 리뷰, 인플레는 일시적이다! 끝까지!!!	NA
Q0IAbBS4hM4	Beyond the Nation: Big Tech CEOs Determine the Future of Global AI | Jung Joo-yong, CIO, Gravity ...	NA
sLNshK4WSQg	잔인하게 머스크를 배신한 샘 알트만, 그리고 머스크의 눈물젖은 grok-3ㅣ정주용 그래비티벤처스 CIO [2부]	NA
HAxDc5t0W0c	"Becoming a Being That Transcends National Borders": Elon Musk's Dream of the Future and AI | Jun...	NA
MskYhQs-2Dw	[Breaking News] Powell is not a dove or a hawk. Why is he trembling like a duck?	NA
DwKsHPkHkgA	[그냥효] 중국 주식 vs 미국 주식, 제가 이 한판으로 정리해 드리겠습니다	NA
pq7EqoPAe4c	지금 미국이 원하고 있는 것은 중국의 '완벽한' 굴복입니다ㅣ박정호 명지대학교 교수 [풀영상]	NA
XiX6BOrNjrk	지금 미국 증시는 박스권에 제대로 갇혔습니다. 탈출하기 쉽지 않아 보입니다ㅣ박종연 IBK연금보험 부장 [풀영상]	NA
_kaqshKimhU	한국의 핸드폰, TV 앞으로는 점점 경쟁력 없어질 것입니다ㅣ박정호 명지대학교 교수 [4부]	NA
oZFRYXaW0aQ	돈 없으면 차 끌고 나오지 말라구요? 선택의 기로에 서있는 대한민국ㅣ박정호 명지대학교 교수 [3부]	NA
bubxRFsFiEU	중국 정부가 인민 10억명을 말 그대로 유기해버린 이유ㅣ박정호 명지대학교 교수 [2부]	NA
TbeTDLZ1vkc	Think of the American economy as a bomb necklace around your neck. Professor Park Jeong-ho of Myo...	NA
0QLDmz2JiNs	[그냥효] 정말 뜨거운 상법개정, 제가 깔-끔하게 정리해 드립니다	NA
ZeiLI6GVldg	[Moraguhyo] Dark clouds gather over the US economy, but there's always a turnaround card.	NA
KE31xhBZZ5s	앞으로 인간은 일을 안해도 될 겁니다. 로봇이 인간을 먹여살릴 거예요ㅣ김상균 경희대학교 교수 [풀영상]	NA
qLbhmaJQawM	딥시크 대단한건 알겠는데 돈이 되나?? 그래서 준비한 딥시크 수혜주 총정리 | 김수정 미래에셋자산운용 팀장	NA
Uw2Ktq86tzY	[속보효] 드디어 상법개정이 통과되었네요. 정말 역사적인 순간입니다.	NA
-Srw05Xr1Xw	[Motor Interview] Why This Shipbuilding Supercycle Is So Different from Previous Supercycles | Ha...	NA
2sZ73AM6xzI	[그냥효] 벼랑끝에 제대로 몰려버린 테슬라! 200달러와 800달러의 갈림길	NA
GLWw58wnVfo	허리가 날아가버린 미국, 좋은 머리를 찾아야 하는 중국ㅣ신형관 중국자본연구소 대표 [풀영상]	NA
EGkDp-SqKX8	누구든 미국에게 밉보이면 과거의 일본처럼 호되게 당하게 될 것입니다ㅣ박종연 IBK연금보험 부장 [2부]	NA
134kc5qkZfQ	제가 생각하는 현재 미국주식의 실태는 이렇습니다ㅣ박종연 IBK연금보험 부장 [1부]	NA
Dw3hMZJGXT8	로봇이 인간을 넘기 전에 살아남을 방법을 미리 찾아놔야 합니다ㅣ김상균 경희대학교 교수 [2부]	NA
TL6lLP3a3is	로봇의 숫자가 인간의 수를 넘어서는 날이 멀지 않았습니다ㅣ김상균 경희대학교 교수 [1부]	NA
a4Zx5OsiI8E	[속보효] 경기침체까지 불사한다는 트럼프, 하... 도대체 왜이러는 걸까요?	NA
de4Wf2oBi3Q	커버드콜 ETF, 하나만 고른다면 저는 이것입니다! #한나 #etf #커버드콜	NA
OrrqSqXTfqw	[그냥효] 철옹성 같던 미국시장이 흔들린다! 앞으로 투자는 어떻게 해야 할까?	NA
7L63J2cnuBg	Even Xi Jinping was shocked! Huawei's CEO declares global invasion! | Shin Hyung-kwan, Director o...	NA
Pr0Rpd5vlM4	중국이 되어가는 미국, 그리고 미국이 되어가는 중국ㅣ신형관 중국자본연구소 대표 [2부]	NA
g3sHk0IM4xk	딥시크 쇼크는 미국만 타격한게 아닙니다. 중국도 그 이후로 완전히 변하고 있어요ㅣ신형관 중국자본연구소 대표 [1부]	NA
uHlAktS7yKo	[모라구효] 탄핵 결과를 앞둔 지금! 대한민국 주식 시장의 운명은?!	NA
ozrZUZGtIHE	[속보효] 주저 앉아버린 나스닥! 미국 주식...이대로 시즌 종료인것일까??	NA
s53_g77cuEc	상법 개정 통과되면 코스피가 하늘 뚫고 날아가는 이유ㅣ김규식 비스타 글로벌 애셋 매니지먼트 포트폴리오 매니저 [풀영상]	NA
IqrhFKyv0RY	[그냥효] 다가오는 크립토 행사, 트럼프와 미국 정부가 준비한 비장의 무기는 '이것'	NA
9ynvETMPPG4	이효석 아카데미에서 이효석이 사라진다면 어떻게 되는지 알아보겠습니다	NA
h0lTqRqCg-g	[Breaking News] Is Trump making America healthier? What are his true intentions?	NA
G0DzCqScbi0	[속보효] 또 급락하는 주식시장, 희망은 없나? 반등 시나리오 3가지	NA
Z0wtGj_h6wM	[먼슬리구루] 미국 주식 폭락과 버핏이 작년 3월 부터 준비한 큰그림에 대하여 [먼슬리구루 워런버핏 모음]	NA
R-qQ6zJStso	"한국인이 제일 많아요" 900만명의 대한민국 국민이 일본여행에 빠져버린 '이유'ㅣ김종훈 아서 디 리틀 파트너 [풀영상]	NA
RaAV--tYJvU	[그냥효] 밸류업을 진행하려면, 우선 밸류다운을 막아야 합니다	NA
aqJynXJ-qtg	[Breaking News] What happened last night? 3 reasons why Bitcoin and Nasdaq plummeted again?	NA
5GVKrnNupHw	[Monthly Asin] NVIDIA's New Semiconductor Market Order [Full Video]	NA
-04_bYEkmNw	K-방산 좋은건 알겠는데...지금 들어가도 안 늦은걸까?ㅣ김민석 기자/작가 [풀영상]	NA
coEfVVqsFxY	[속보효] 미국이 노골적으로 러시아 편을 드는 근본적인 이유 | 미국은 스스로 단극체제를 포기했습니다.	NA
Gz4B2aaq-3M	마음만 먹으면 언제든지 주주 뒤통수 때리기 너무 너무 쉬운 국가 ㅣ김규식 비스타 글로벌 애셋 매니지먼트 포트폴리오 매니저 [2부]	NA
oehqC0nbqA0	You'll be truly amazed when you learn the truth about this company. Kim Kyu-sik, Portfolio Manage...	NA
OdhLXFtTKQw	[그냥효] 흔들리고 있는 미국의 AI 리더쉽	NA
E9m6J9L_4x4	Nike, the sports industry giant, is collapsing [Sparkling Investment Club Part 6]	NA
KxI-K4cMeM4	The Shocking Global Pharmaceutical and Biotech Investment Bible for 2025 [Sparkling Investment Cl...	NA
N5aUiQEd9Ig	욕심과 탐욕, 투자할 때 반드시 구별해야 하는 2가지 입니다ㅣ김탁 밸류시스템자산운용 상무	NA
sCBpxoni8J8	[Moraguhyo] Even with good performance, the leading stocks are falling... Is this the beginning o...	NA
5dGujWVlIxg	1등 펀드매니저가 전하는 국장에서 살아남는 방법은 '이것'ㅣ이한영 보고펀드자산운용 본부장	NA
vXx_i0StKu8	[속보효] 올해 제일 좋은 시장은 미국도 일본도 아닌 국장입니다 (오늘기준)	NA
0IaczjcJl-0	트럼프의 에너지 정책! 알고나면 다르게 보입니다 [스파클링 투자클럽 4부]	NA
sPXnxL7OHzo	"Koreans are the most popular": The reason 9 million South Koreans are obsessed with traveling to...	NA
RWZQiOGUIXw	The Shocking Reason Warren Buffett, the Master Investor, Invested in a Japanese Company Over Sout...	NA
sXKFaGZpJRM	[속보효] 또 다시 레전드급 실적 나온 엔비디아! 전고점 돌파는 언제쯤 가능할까?	NA
9s15FyMCyXA	K-방산 좋은건 알겠는데...지금 들어가도 안 늦은걸까?ㅣ김민석 기자/작가	NA
2QkSq956Ho4	The History of South Korea's Defense Industry: From a Counterfeit Weapons Manufacturing Nation to...	NA
_p5sFvnOxdc	러시아, 우크라이나 전쟁이 끝난후 벌어질 일들을 정리해드립니다ㅣ김민석 기자/작가	NA
NJvDShhzy2M	내일 새벽 나올 엔비디아 실적발표전 투자자라면 반드시 봐야하는 영상입니다 [스파클링 투자클럽 3부]	NA
0kty5LC_K_Y	[속보효] 9만불 깨져버린 비트코인...그런데 오히려 지금이 매수 기회라고?	NA
4Pomps9HjjU	[월간아신] 반도체 시장을 180도 뒤집어버릴 '이것' 의 시대가 옵니다. 반드시 대비하셔야 합니다 [3부]	NA
Kz_vyOJpx3I	[월간아신] 딥시크에 크게 한방 맞고 충격에 빠진 엔비디아! 이번 실적에서 중요하게 봐야하는 것은 '이것' [2부]	NA
c_XQ-Ml1BwM	[월간아신] 또 한번 제대로 큰판 벌리는 엔비디아! 코앞으로 다가온 실적발표! 엔비디아는 반도체의 역사를 새로 쓸 수 있을까요? [1부]	NA
LKmlMYGg5jc	[속보효] 금통위에서 작심발한언 한국은행 이창용 총재! 대한민국의 미래는 어떻게 되는 걸까?	NA
QqDn-_tYmRU	[Monthly Guru] A Seismic Shift in Big Tech! Find the New M7? Solid Advice from Wall Street Bigwig...	NA
giJ9whPDwfA	[속보효] 러우전쟁 종료 임박?! 그런데... 북한은 어쩌지???	NA
vkTSafCN77Y	[그냥효] 프랑스 대혁명으로 본 AI혁명의 미래	NA
g0wXsbC0flM	What are covered call ETFs? Options? Premiums? Calls? Invest just 10 minutes and you too can lear...	NA
rF-Tr0_3bvk	[모라구효] 글로벌 증시에서 일어난 '빅뱅'! 세계의 증시는 지금 대규모 지각 변동 진행중!	NA
sKH0bDxeqB8	[속보효] 다시 터지는 제2의 코로나 사태? 그리고 이더리움 해킹사건까지!	NA
gxOAl9_2UTo	[먼슬리구루] 존버KING 베일리 기포드가 엔비디아 테슬라 팔고 지켜보고 있는 '이 기업' [3부 - 베일리 기포드]	NA
2cxHg54nzuI	[Monthly Guru] Ackman Finds a Way Out of a Broken Bridge, and Here's Where He Invested $3.3 Trill...	NA
fgobX4UsOMU	[먼슬리구루] 트럼프의 관세 폭탄 정책 덕분에 뒷골이 땡기는 워런 버핏의 묵직한 조언 [1부 - 워런 버핏]	NA
-Yw4tqnj-fU	[Breaking News] Palantir's stock price plummets! Decision-making is crucial in these situations!	NA
K4tZ7zgofbA	총보수를 또?? 네, '또' 내렸습니다. KODEX의 진짜 역대급 총보수 인하!ㅣ이동후 삼성자산운용 수석매니저	NA
EdqyrFWJpOg	The dream of Chinese geniuses isn't to become doctors. The shocking reality of Chinese education,...	NA
PuyKCl1dw4M	[속보효] 뱅크 오브 아메리카에서 나온 충격적인 설문! 美증시 조정 시나리오? 실제는 이렇습니다	NA
UTmLiwv_u6M	[Just Hyo] America is going bankrupt?? The US government's struggle to avoid bankruptcy!	NA
PvvNefFsWcE	금값이 치솟고있는 바로 지금! 금에 제일 현명하게 투자하는 방법이 있다? #한나 #금 #etf #금etf	NA
OGTglv7D6X4	연봉 1억 받는 사람도 가난뱅이 취급 받는 나라ㅣ이선엽 신한투자증권 이사 [풀영상]	NA
wjV5DKiNqGM	뿌리뽑기냐 스며들기냐, 트럼프는 벌써 미중 패권전쟁 신호탄을 쏘아 올렸습니다ㅣ송의달 서울시립대학교 교수 (신의 개입 저자) [풀영상]	NA
mitq05l02yY	[Just Hyo] I'm going to reduce my Bitcoin holdings and buy 'this stock'.	NA
scnK4NxNLHo	[모라구효] 역사상 초유의 사태가 벌어졌네요. 골드바 판매중단의 이유는 '이것'	NA
7UYYO3sFONg	잠들기 전 보면 정말 좋은 영상ㅣ김재경 교수 (카이스트 수리과학부, IBS 의생명수학그룹) [풀영상]	NA
yxWRaCgVnPY	The market's assessment of Nvidia is crystal clear and accurate. Choi Do-yeon, SK Securities Cent...	NA
UDSqjOAGzPE	2025 Investment Strategy! Top Pick Stock Returns Revealed Now!	NA
i6TbwV16yY8	미국 현지 AI 종사자가 직접 보고 전해주는 2025년부터 반드시 주목해야하는 '이 주식' [스파클링 투자클럽 2부]	NA
UyiH0tckFGs	비트코인 2배 오를 때 이 주식은 3배가 오릅니다. 비트코인 변동성에 무조건적인 충성을 하는 '이 주식' [스파클링 투자클럽 1부]	NA
Kv5vdvELACE	이래도 될까? 네 됩니다.충격적인 "압도적" 총보수인하 이벤트 | 김수정 미래에셋자산운용 팀장	NA
q2kFqpgdwKc	[속보효] 미국 물가지수 쇼크! "상반기엔 금리인하 없다"	NA
